tweet_english,tokenize_tweet,labels,cleaned_tweet
Ganjar Pranowo and Mahfud MD demonstrate sign language when entering the presidential candidate debate stage. What does it mean?,"['Ganjar', 'Pranowo', 'and', 'Mahfud', 'MD', 'demonstrate', 'sign', 'language', 'when', 'entering', 'the', 'presidential', 'candidate', 'debate', 'stage', '.', 'What', 'does', 'it', 'mean', '?']",netral,Ganjar Pranowo Mahfud demonstrate sign language entering presidential candidate debate stage . ?
"Come on, vote for Mahfud's reward to eradicate corruption in Indonesia","['Come', 'on', ',', 'vote', 'for', 'Mahfud', ""'s"", 'reward', 'to', 'eradicate', 'corruption', 'in', 'Indonesia']",positif,", vote Mahfud 's reward eradicate corruption Indonesia"
"From the people for the people, Gangarmahfud, the leader of the Indonesian people, in February, choose the three","['From', 'the', 'people', 'for', 'the', 'people', ',', 'Gangarmahfud', ',', 'the', 'leader', 'of', 'the', 'Indonesian', 'people', ',', 'in', 'February', ',', 'choose', 'the', 'three']",netral,"people people , Gangarmahfud , leader Indonesian people , February , choose"
The people's mandate is a sacred mandate for us. Together we start a new era for Indonesia where no one is left behind,"['The', 'people', ""'s"", 'mandate', 'is', 'a', 'sacred', 'mandate', 'for', 'us', '.', 'Together', 'we', 'start', 'a', 'new', 'era', 'for', 'Indonesia', 'where', 'no', 'one', 'is', 'left', 'behind']",negatif,people 's mandate sacred mandate . start era Indonesia left
The presidential candidate pair Ganjar Pranowo and Mahfud MD are promoting a program to build health facilities in each village. This is one way to provide equal rights for all people in accessing health care.,"['The', 'presidential', 'candidate', 'pair', 'Ganjar', 'Pranowo', 'and', 'Mahfud', 'MD', 'are', 'promoting', 'a', 'program', 'to', 'build', 'health', 'facilities', 'in', 'each', 'village', '.', 'This', 'is', 'one', 'way', 'to', 'provide', 'equal', 'rights', 'for', 'all', 'people', 'in', 'accessing', 'health', 'care', '.']",positif,presidential candidate pair Ganjar Pranowo Mahfud promoting program build health facilities village . provide equal rights people accessing health care .
Gangarmahfud is committed to getting out of the middle income trap,"['Gangarmahfud', 'is', 'committed', 'to', 'getting', 'out', 'of', 'the', 'middle', 'income', 'trap']",negatif,Gangarmahfud committed middle income trap
Gangarmahfud is committed to increasing UMKM growth,"['Gangarmahfud', 'is', 'committed', 'to', 'increasing', 'UMKM', 'growth']",positif,Gangarmahfud committed increasing UMKM growth
Gangarmahfud is committed to preparing millions of new jobs,"['Gangarmahfud', 'is', 'committed', 'to', 'preparing', 'millions', 'of', 'new', 'jobs']",positif,Gangarmahfud committed preparing millions jobs
Gangarmahfud is committed to set towards golden Indonesia,"['Gangarmahfud', 'is', 'committed', 'to', 'set', 'towards', 'golden', 'Indonesia']",positif,Gangarmahfud committed set golden Indonesia
Gangarmahfud is very committed to double village funds for village upgrade,"['Gangarmahfud', 'is', 'very', 'committed', 'to', 'double', 'village', 'funds', 'for', 'village', 'upgrade']",positif,Gangarmahfud committed double village funds village upgrade
When Ganjar reminded Prabowo Subianto that digital traces would not be lost in the final presidential candidate debate,"['When', 'Ganjar', 'reminded', 'Prabowo', 'Subianto', 'that', 'digital', 'traces', 'would', 'not', 'be', 'lost', 'in', 'the', 'final', 'presidential', 'candidate', 'debate']",positif,Ganjar reminded Prabowo Subianto digital traces lost final presidential candidate debate
Ibn's testimony to Mr Ganjar,"['Ibn', ""'s"", 'testimony', 'to', 'Mr', 'Ganjar']",netral,Ibn 's testimony Ganjar
Ganjar Pranowo and Mahfud MD emphasized their commitment to bring about meaningful change for the welfare and justice of all Indonesian people in the presidential candidate debate,"['Ganjar', 'Pranowo', 'and', 'Mahfud', 'MD', 'emphasized', 'their', 'commitment', 'to', 'bring', 'about', 'meaningful', 'change', 'for', 'the', 'welfare', 'and', 'justice', 'of', 'all', 'Indonesian', 'people', 'in', 'the', 'presidential', 'candidate', 'debate']",positif,Ganjar Pranowo Mahfud emphasized commitment bring meaningful change welfare justice Indonesian people presidential candidate debate
Ganjar Pranowo reveals targeted solutions to address high UKT costs and access to education,"['Ganjar', 'Pranowo', 'reveals', 'targeted', 'solutions', 'to', 'address', 'high', 'UKT', 'costs', 'and', 'access', 'to', 'education']",positif,Ganjar Pranowo reveals targeted solutions address UKT costs access education
Ganjar Pranowo emphasized his commitment to equalizing free internet access throughout Indonesia.,"['Ganjar', 'Pranowo', 'emphasized', 'his', 'commitment', 'to', 'equalizing', 'free', 'internet', 'access', 'throughout', 'Indonesia', '.']",positif,Ganjar Pranowo emphasized commitment equalizing internet access Indonesia .
Presidential candidate Gangar Pranowo admitted that he had prepared well to face the third debate between presidential candidates on Sunday,"['Presidential', 'candidate', 'Gangar', 'Pranowo', 'admitted', 'that', 'he', 'had', 'prepared', 'well', 'to', 'face', 'the', 'third', 'debate', 'between', 'presidential', 'candidates', 'on', 'Sunday']",positif,Presidential candidate Gangar Pranowo admitted prepared debate presidential candidates Sunday
"wese drun stands for peeing his pants, drone, I'm dying to understand, right?","['wese', 'drun', 'stands', 'for', 'peeing', 'his', 'pants', ',', 'drone', ',', 'I', ""'m"", 'dying', 'to', 'understand', ',', 'right', '?']",netral,"wese drun stands peeing pants , drone , 'm dying understand , ?"
affa anies you unfoll pregnant jisoo nepo baby bali lukas enembe bukittinggi pledis mcdonald kpop home alone doyoung jogja,"['affa', 'anies', 'you', 'unfoll', 'pregnant', 'jisoo', 'nepo', 'baby', 'bali', 'lukas', 'enembe', 'bukittinggi', 'pledis', 'mcdonald', 'kpop', 'home', 'alone', 'doyoung', 'jogja']",negatif,affa anies unfoll pregnant jisoo nepo baby bali lukas enembe bukittinggi pledis mcdonald kpop doyoung jogja
"This is a cool statement from Mr Ganjar, mastering the third presidential election debate on geopolitics","['This', 'is', 'a', 'cool', 'statement', 'from', 'Mr', 'Ganjar', ',', 'mastering', 'the', 'third', 'presidential', 'election', 'debate', 'on', 'geopolitics']",positif,"cool statement Ganjar , mastering presidential election debate geopolitics"
"In the first presidential candidate debate, the warm support of his wife and children gave Pranowo full strength. This moment emphasized his commitment to realizing goodness for Indonesia, highlighting the important essence of this time's goals.","['In', 'the', 'first', 'presidential', 'candidate', 'debate', ',', 'the', 'warm', 'support', 'of', 'his', 'wife', 'and', 'children', 'gave', 'Pranowo', 'full', 'strength', '.', 'This', 'moment', 'emphasized', 'his', 'commitment', 'to', 'realizing', 'goodness', 'for', 'Indonesia', ',', 'highlighting', 'the', 'important', 'essence', 'of', 'this', 'time', ""'s"", 'goals', '.']",positif,"presidential candidate debate , warm support wife children Pranowo strength . moment emphasized commitment realizing goodness Indonesia , highlighting essence time 's goals ."
sat set sat set the most asset confiscated person in yesterday's presidential candidate debate all talked about the asset confiscation regulations bettyul sii the asset confiscation bill is very important for eradicating corruption hmm just a moment,"['sat', 'set', 'sat', 'set', 'the', 'most', 'asset', 'confiscated', 'person', 'in', 'yesterday', ""'s"", 'presidential', 'candidate', 'debate', 'all', 'talked', 'about', 'the', 'asset', 'confiscation', 'regulations', 'bettyul', 'sii', 'the', 'asset', 'confiscation', 'bill', 'is', 'very', 'important', 'for', 'eradicating', 'corruption', 'hmm', 'just', 'a', 'moment']",positif,sat set sat set asset confiscated person yesterday 's presidential candidate debate talked asset confiscation regulations bettyul sii asset confiscation eradicating corruption hmm moment
"Behind the activists who support it, is there really a reward? Is it related to the general election in full in the war of the three commanders, Thursday WIB","['Behind', 'the', 'activists', 'who', 'support', 'it', ',', 'is', 'there', 'really', 'a', 'reward', '?', 'Is', 'it', 'related', 'to', 'the', 'general', 'election', 'in', 'full', 'in', 'the', 'war', 'of', 'the', 'three', 'commanders', ',', 'Thursday', 'WIB']",positif,"activists support , reward ? election war commanders , Thursday WIB"
First presidential debate rewards winner Tag Rosalia Indah Bekasi blunder Bem UI really wants CCTV Zulhas,"['First', 'presidential', 'debate', 'rewards', 'winner', 'Tag', 'Rosalia', 'Indah', 'Bekasi', 'blunder', 'Bem', 'UI', 'really', 'wants', 'CCTV', 'Zulhas']",positif,presidential debate rewards winner Tag Rosalia Indah Bekasi blunder Bem UI CCTV Zulhas
"Just the day I entered PSI, why has it become ketum? Wow, I've used this method","['Just', 'the', 'day', 'I', 'entered', 'PSI', ',', 'why', 'has', 'it', 'become', 'ketum', '?', 'Wow', ',', 'I', ""'ve"", 'used', 'this', 'method']",positif,"day entered PSI , ketum ? Wow , method"
highly anticipated program,"['highly', 'anticipated', 'program']",netral,highly anticipated program
"Wow, Mr. Gangar, if it's a matter of reputation, I can't lie, he can be used as a puppet","['Wow', ',', 'Mr.', 'Gangar', ',', 'if', 'it', ""'s"", 'a', 'matter', 'of', 'reputation', ',', 'I', 'ca', ""n't"", 'lie', ',', 'he', 'can', 'be', 'used', 'as', 'a', 'puppet']",positif,"Wow , Mr. Gangar , 's matter reputation , n't lie , puppet"
"Come on, guess who you are parodying, download now on Play Store and App Store","['Come', 'on', ',', 'guess', 'who', 'you', 'are', 'parodying', ',', 'download', 'now', 'on', 'Play', 'Store', 'and', 'App', 'Store']",positif,", guess parodying , download Play Store App Store"
The loss of the Ganjar banner in Banten is surprising. This act of removal is not only striking but also highlights the unethical nature of political contests,"['The', 'loss', 'of', 'the', 'Ganjar', 'banner', 'in', 'Banten', 'is', 'surprising', '.', 'This', 'act', 'of', 'removal', 'is', 'not', 'only', 'striking', 'but', 'also', 'highlights', 'the', 'unethical', 'nature', 'of', 'political', 'contests']",negatif,loss Ganjar banner Banten surprising . removal striking highlights unethical nature political contests
reward a strong and dedicated leader proves his leadership qualities through real actions and fast performance,"['reward', 'a', 'strong', 'and', 'dedicated', 'leader', 'proves', 'his', 'leadership', 'qualities', 'through', 'real', 'actions', 'and', 'fast', 'performance']",positif,reward strong dedicated leader proves leadership qualities real actions fast performance
"Mrs. Atikoh, even though she is busy, still makes time to run at GBK at night, let's keep your body healthy and your heart healthy","['Mrs.', 'Atikoh', ',', 'even', 'though', 'she', 'is', 'busy', ',', 'still', 'makes', 'time', 'to', 'run', 'at', 'GBK', 'at', 'night', ',', 'let', ""'s"", 'keep', 'your', 'body', 'healthy', 'and', 'your', 'heart', 'healthy']",positif,"Mrs. Atikoh , busy , time GBK night , 's body healthy heart healthy"
"Come on, let's make Saturday night even more exciting, let's join in the dinner event with Mr Ganjar","['Come', 'on', ',', 'let', ""'s"", 'make', 'Saturday', 'night', 'even', 'more', 'exciting', ',', 'let', ""'s"", 'join', 'in', 'the', 'dinner', 'event', 'with', 'Mr', 'Ganjar']",positif,", 's Saturday night exciting , 's dinner event Ganjar"
"Look for differences in the photos above, none of them are very similar","['Look', 'for', 'differences', 'in', 'the', 'photos', 'above', ',', 'none', 'of', 'them', 'are', 'very', 'similar']",netral,"differences photos ,"
"If you ask, you don't need to choose, you don't need to choose, it's better if we just choose the one that definitely has one set","['If', 'you', 'ask', ',', 'you', 'do', ""n't"", 'need', 'to', 'choose', ',', 'you', 'do', ""n't"", 'need', 'to', 'choose', ',', 'it', ""'s"", 'better', 'if', 'we', 'just', 'choose', 'the', 'one', 'that', 'definitely', 'has', 'one', 'set']",positif,", n't choose , n't choose , 's choose set"
"Yes, I'm too good for you, bye","['Yes', ',', 'I', ""'m"", 'too', 'good', 'for', 'you', ',', 'bye']",positif,", 'm , bye"
"When we are ready to crush but don't get a notification, remember the name is also business hahaha","['When', 'we', 'are', 'ready', 'to', 'crush', 'but', 'do', ""n't"", 'get', 'a', 'notification', ',', 'remember', 'the', 'name', 'is', 'also', 'business', 'hahaha']",positif,"ready crush n't notification , remember business hahaha"
"More than just fashion, this is a way to appreciate local MSME products created by the nation's children","['More', 'than', 'just', 'fashion', ',', 'this', 'is', 'a', 'way', 'to', 'appreciate', 'local', 'MSME', 'products', 'created', 'by', 'the', 'nation', ""'s"", 'children']",positif,"fashion , local MSME products created nation 's children"
"nature was given a birthday surprise at the Nurul Huda Islamic Boarding School in Bekasi, a happy atmosphere with simple but special sholawat","['nature', 'was', 'given', 'a', 'birthday', 'surprise', 'at', 'the', 'Nurul', 'Huda', 'Islamic', 'Boarding', 'School', 'in', 'Bekasi', ',', 'a', 'happy', 'atmosphere', 'with', 'simple', 'but', 'special', 'sholawat']",positif,"nature birthday surprise Nurul Huda Islamic Boarding School Bekasi , happy atmosphere simple special sholawat"
"a confusing statement because the leader's responsibility should be to find solutions, not to look for scapegoats in the sky.","['a', 'confusing', 'statement', 'because', 'the', 'leader', ""'s"", 'responsibility', 'should', 'be', 'to', 'find', 'solutions', ',', 'not', 'to', 'look', 'for', 'scapegoats', 'in', 'the', 'sky', '.']",negatif,"confusing statement leader 's responsibility solutions , scapegoats sky ."
the importance of placing national interests above all party political interests,"['the', 'importance', 'of', 'placing', 'national', 'interests', 'above', 'all', 'party', 'political', 'interests']",positif,placing national party political
Do you agree that yesterday's debate was called playing it safe? Watch the first debate score on the Metrotvnews YouTube channel link,"['Do', 'you', 'agree', 'that', 'yesterday', ""'s"", 'debate', 'was', 'called', 'playing', 'it', 'safe', '?', 'Watch', 'the', 'first', 'debate', 'score', 'on', 'the', 'Metrotvnews', 'YouTube', 'channel', 'link']",positif,agree yesterday 's debate called playing safe ? Watch debate score Metrotvnews YouTube channel link
The presidential election debate is like our chatter at dawn,"['The', 'presidential', 'election', 'debate', 'is', 'like', 'our', 'chatter', 'at', 'dawn']",positif,presidential election debate chatter dawn
"In the first presidential debate, Ganjar featured the word job several times with a special focus on access to jobs for young people","['In', 'the', 'first', 'presidential', 'debate', ',', 'Ganjar', 'featured', 'the', 'word', 'job', 'several', 'times', 'with', 'a', 'special', 'focus', 'on', 'access', 'to', 'jobs', 'for', 'young', 'people']",positif,"presidential debate , Ganjar featured word job times special focus access jobs people"
Presidential candidate candidate number Prabowo Subianto is considered to be the target of shooting from two of his competitors during the first debate at the Jakarta KPU yard on Tuesday j,"['Presidential', 'candidate', 'candidate', 'number', 'Prabowo', 'Subianto', 'is', 'considered', 'to', 'be', 'the', 'target', 'of', 'shooting', 'from', 'two', 'of', 'his', 'competitors', 'during', 'the', 'first', 'debate', 'at', 'the', 'Jakarta', 'KPU', 'yard', 'on', 'Tuesday', 'j']",positif,Presidential candidate candidate Prabowo Subianto considered target shooting competitors debate Jakarta KPU yard Tuesday
"highlight the first debate of the Perindo Ganjar party, most clearly explain the vision and mission of law enforcement and human rights","['highlight', 'the', 'first', 'debate', 'of', 'the', 'Perindo', 'Ganjar', 'party', ',', 'most', 'clearly', 'explain', 'the', 'vision', 'and', 'mission', 'of', 'law', 'enforcement', 'and', 'human', 'rights']",positif,"highlight debate Perindo Ganjar party , explain vision mission law enforcement human rights"
Perindo Party highlights the first presidential debate as the clearest reward for law enforcement and human rights,"['Perindo', 'Party', 'highlights', 'the', 'first', 'presidential', 'debate', 'as', 'the', 'clearest', 'reward', 'for', 'law', 'enforcement', 'and', 'human', 'rights']",positif,Perindo Party highlights presidential debate clearest reward law enforcement human rights
Anies Baswedan and Ganjar Pranowo's appearance at the inaugural debate at the Indonesian KPU building on Tuesday night which seemed unified and as if attacking Prabowo Subianto was not part of the complete strategy,"['Anies', 'Baswedan', 'and', 'Ganjar', 'Pranowo', ""'s"", 'appearance', 'at', 'the', 'inaugural', 'debate', 'at', 'the', 'Indonesian', 'KPU', 'building', 'on', 'Tuesday', 'night', 'which', 'seemed', 'unified', 'and', 'as', 'if', 'attacking', 'Prabowo', 'Subianto', 'was', 'not', 'part', 'of', 'the', 'complete', 'strategy']",negatif,Anies Baswedan Ganjar Pranowo 's appearance inaugural debate Indonesian KPU building Tuesday night unified attacking Prabowo Subianto complete strategy
reward Mahfud to become a superior Indonesia Gacoan Dana Molly Batter Up M Views Olivia Surabaya Earthquake Jungkook is Coming,"['reward', 'Mahfud', 'to', 'become', 'a', 'superior', 'Indonesia', 'Gacoan', 'Dana', 'Molly', 'Batter', 'Up', 'M', 'Views', 'Olivia', 'Surabaya', 'Earthquake', 'Jungkook', 'is', 'Coming']",positif,reward Mahfud superior Indonesia Gacoan Dana Molly Batter Views Olivia Surabaya Earthquake Jungkook Coming
"The first presidential debate has been held. What would be interesting for first-time voters, aka young people, the answer or gimmick?","['The', 'first', 'presidential', 'debate', 'has', 'been', 'held', '.', 'What', 'would', 'be', 'interesting', 'for', 'first-time', 'voters', ',', 'aka', 'young', 'people', ',', 'the', 'answer', 'or', 'gimmick', '?']",positif,"presidential debate held . first-time voters , aka people , answer gimmick ?"
"That's great, my lord, reward the President of the Republic of Indonesia","['That', ""'s"", 'great', ',', 'my', 'lord', ',', 'reward', 'the', 'President', 'of', 'the', 'Republic', 'of', 'Indonesia']",positif,"'s , lord , reward President Republic Indonesia"
satset tastes,"['satset', 'tastes']",netral,satset tastes
Mr Ganjar Mahfud's vision and mission is the best,"['Mr', 'Ganjar', 'Mahfud', ""'s"", 'vision', 'and', 'mission', 'is', 'the', 'best']",positif,Ganjar Mahfud 's vision mission
"Continue to be consistent, Bismillah President","['Continue', 'to', 'be', 'consistent', ',', 'Bismillah', 'President']",netral,"Continue consistent , Bismillah President"
"Ganjar is really cool, salute","['Ganjar', 'is', 'really', 'cool', ',', 'salute']",positif,"Ganjar cool , salute"
the right choice for the presidential election,"['the', 'right', 'choice', 'for', 'the', 'presidential', 'election']",netral,choice presidential election
"Choose a reward that is good at dialogue, not overbearing, definitely of good quality","['Choose', 'a', 'reward', 'that', 'is', 'good', 'at', 'dialogue', ',', 'not', 'overbearing', ',', 'definitely', 'of', 'good', 'quality']",positif,"Choose reward dialogue , overbearing , quality"
It turns out that this is the meaning of Pranowo's rewarding smile according to experts,"['It', 'turns', 'out', 'that', 'this', 'is', 'the', 'meaning', 'of', 'Pranowo', ""'s"", 'rewarding', 'smile', 'according', 'to', 'experts']",positif,meaning Pranowo 's rewarding smile experts
why do we have to choose no because they offer a special program for Islamic boarding schools,"['why', 'do', 'we', 'have', 'to', 'choose', 'no', 'because', 'they', 'offer', 'a', 'special', 'program', 'for', 'Islamic', 'boarding', 'schools']",positif,choose offer special program Islamic boarding schools
The difference is that father and son watch the presidential election debate. Father focuses on the presidential election debate. The son instead focuses on the presidential candidate's son hahaha,"['The', 'difference', 'is', 'that', 'father', 'and', 'son', 'watch', 'the', 'presidential', 'election', 'debate', '.', 'Father', 'focuses', 'on', 'the', 'presidential', 'election', 'debate', '.', 'The', 'son', 'instead', 'focuses', 'on', 'the', 'presidential', 'candidate', ""'s"", 'son', 'hahaha']",positif,difference father son watch presidential election debate . Father focuses presidential election debate . son focuses presidential candidate 's son hahaha
"I'm just sorry, the little guy needs to be supervised more by his father so he doesn't act out","['I', ""'m"", 'just', 'sorry', ',', 'the', 'little', 'guy', 'needs', 'to', 'be', 'supervised', 'more', 'by', 'his', 'father', 'so', 'he', 'does', ""n't"", 'act', 'out']",negatif,"'m , guy supervised father n't"
"Misinformation conveyed by Anies in the presidential debate regarding the death of his father Harun Arrasyid, who was claimed to be a Prabowo supporter, needs to be clarified.","['Misinformation', 'conveyed', 'by', 'Anies', 'in', 'the', 'presidential', 'debate', 'regarding', 'the', 'death', 'of', 'his', 'father', 'Harun', 'Arrasyid', ',', 'who', 'was', 'claimed', 'to', 'be', 'a', 'Prabowo', 'supporter', ',', 'needs', 'to', 'be', 'clarified', '.']",negatif,"Misinformation conveyed Anies presidential debate death father Harun Arrasyid , claimed Prabowo supporter , clarified ."
Prabowo said Indonesia is safe and under control but is that true?,"['Prabowo', 'said', 'Indonesia', 'is', 'safe', 'and', 'under', 'control', 'but', 'is', 'that', 'true', '?']",positif,Prabowo Indonesia safe control true ?
The presidential candidate debate schedule for Prabowo Subianto Ganjar Pranowo and Anies Baswedan's preparations is over,"['The', 'presidential', 'candidate', 'debate', 'schedule', 'for', 'Prabowo', 'Subianto', 'Ganjar', 'Pranowo', 'and', 'Anies', 'Baswedan', ""'s"", 'preparations', 'is', 'over']",netral,presidential candidate debate schedule Prabowo Subianto Ganjar Pranowo Anies Baswedan 's preparations
A professor's answer is indeed wiser than the answer of a family court graduate,"['A', 'professor', ""'s"", 'answer', 'is', 'indeed', 'wiser', 'than', 'the', 'answer', 'of', 'a', 'family', 'court', 'graduate']",positif,professor 's answer wiser answer family court graduate
"This debate technique is used in presidential candidate debates. This technique always goes viral, great, Gus Gibran Constitutional Court Mahfud Songong Boy","['This', 'debate', 'technique', 'is', 'used', 'in', 'presidential', 'candidate', 'debates', '.', 'This', 'technique', 'always', 'goes', 'viral', ',', 'great', ',', 'Gus', 'Gibran', 'Constitutional', 'Court', 'Mahfud', 'Songong', 'Boy']",positif,"debate technique presidential candidate debates . technique viral , , Gus Gibran Constitutional Court Mahfud Songong Boy"
"Before starting, sir, wear slank clothes first","['Before', 'starting', ',', 'sir', ',', 'wear', 'slank', 'clothes', 'first']",netral,"starting , sir , wear slank clothes"
There are no longer any conflicts between the land in Wadas and the residents of Satset,"['There', 'are', 'no', 'longer', 'any', 'conflicts', 'between', 'the', 'land', 'in', 'Wadas', 'and', 'the', 'residents', 'of', 'Satset']",negatif,conflicts land Wadas residents Satset
Don't forget to watch the presidential and vice presidential debate on Sunday January at WIB,"['Do', ""n't"", 'forget', 'to', 'watch', 'the', 'presidential', 'and', 'vice', 'presidential', 'debate', 'on', 'Sunday', 'January', 'at', 'WIB']",positif,n't forget watch presidential vice presidential debate Sunday January WIB
attend Christmas with the ministry,"['attend', 'Christmas', 'with', 'the', 'ministry']",netral,attend Christmas ministry
Presidential candidate Ganjar Pranowo hopes that the issue of wadas and the Rembang cement factory will be discussed in the fourth presidential election debate,"['Presidential', 'candidate', 'Ganjar', 'Pranowo', 'hopes', 'that', 'the', 'issue', 'of', 'wadas', 'and', 'the', 'Rembang', 'cement', 'factory', 'will', 'be', 'discussed', 'in', 'the', 'fourth', 'presidential', 'election', 'debate']",positif,Presidential candidate Ganjar Pranowo hopes issue wadas Rembang cement factory discussed fourth presidential election debate
TNI Headquarters feels that giving values ​​and rewards from Anies to Prabowo does not appreciate their struggle as TNI,"['TNI', 'Headquarters', 'feels', 'that', 'giving', 'values', '\u200b\u200band', 'rewards', 'from', 'Anies', 'to', 'Prabowo', 'does', 'not', 'appreciate', 'their', 'struggle', 'as', 'TNI']",positif,TNI Headquarters feels values ​​and rewards Anies Prabowo struggle TNI
I swear I cried so badly when I saw this cunning behavior and this is all in Prabowo,"['I', 'swear', 'I', 'cried', 'so', 'badly', 'when', 'I', 'saw', 'this', 'cunning', 'behavior', 'and', 'this', 'is', 'all', 'in', 'Prabowo']",negatif,swear cried badly cunning behavior Prabowo
Ganjar attended a dialogue with Kadin at the Djakarta Theater building,"['Ganjar', 'attended', 'a', 'dialogue', 'with', 'Kadin', 'at', 'the', 'Djakarta', 'Theater', 'building']",netral,Ganjar attended dialogue Kadin Djakarta Theater building
totally cool win follow us on for other information dm us,"['totally', 'cool', 'win', 'follow', 'us', 'on', 'for', 'other', 'information', 'dm', 'us']",positif,totally cool win follow
Denies that fertilizer is scarce because the farmer's card is rewarded with insufficient subsidies,"['Denies', 'that', 'fertilizer', 'is', 'scarce', 'because', 'the', 'farmer', ""'s"", 'card', 'is', 'rewarded', 'with', 'insufficient', 'subsidies']",positif,Denies fertilizer scarce farmer 's card rewarded insufficient subsidies
one word for Pranowo's cool father,"['one', 'word', 'for', 'Pranowo', ""'s"", 'cool', 'father']",positif,word Pranowo 's cool father
These two are like baiting Pak Prabowo to reveal defense data during the presidential candidate debate yesterday,"['These', 'two', 'are', 'like', 'baiting', 'Pak', 'Prabowo', 'to', 'reveal', 'defense', 'data', 'during', 'the', 'presidential', 'candidate', 'debate', 'yesterday']",positif,baiting Pak Prabowo reveal defense data presidential candidate debate yesterday
Gaspol rewards Mahfud,"['Gaspol', 'rewards', 'Mahfud']",positif,Gaspol rewards Mahfud
mahfud md defense strategy is a state secret but the budget is not source x sosmedkeras,"['mahfud', 'md', 'defense', 'strategy', 'is', 'a', 'state', 'secret', 'but', 'the', 'budget', 'is', 'not', 'source', 'x', 'sosmedkeras']",positif,mahfud defense strategy secret budget source sosmedkeras
Man of the match presidential debate is Ganjar,"['Man', 'of', 'the', 'match', 'presidential', 'debate', 'is', 'Ganjar']",netral,match presidential debate Ganjar
"The penguin leader is coming over, my boss","['The', 'penguin', 'leader', 'is', 'coming', 'over', ',', 'my', 'boss']",netral,"penguin leader coming , boss"
"A good presidential candidate is one who can properly guard his country's secrets, not one who asks to reveal his country's secrets to the public","['A', 'good', 'presidential', 'candidate', 'is', 'one', 'who', 'can', 'properly', 'guard', 'his', 'country', ""'s"", 'secrets', ',', 'not', 'one', 'who', 'asks', 'to', 'reveal', 'his', 'country', ""'s"", 'secrets', 'to', 'the', 'public']",positif,"presidential candidate properly guard country 's secrets , reveal country 's secrets public"
Diulti Ganjar Prabowo just smiled,"['Diulti', 'Ganjar', 'Prabowo', 'just', 'smiled']",positif,Diulti Ganjar Prabowo smiled
"Pak Prabowo, I don't think it's my authority or competence to judge, let the people judge what kind of person Anies Baswedan is","['Pak', 'Prabowo', ',', 'I', 'do', ""n't"", 'think', 'it', ""'s"", 'my', 'authority', 'or', 'competence', 'to', 'judge', ',', 'let', 'the', 'people', 'judge', 'what', 'kind', 'of', 'person', 'Anies', 'Baswedan', 'is']",positif,"Pak Prabowo , n't 's authority competence judge , people judge person Anies Baswedan"
reward wins the debate,"['reward', 'wins', 'the', 'debate']",positif,reward wins debate
Indonesia's defense strength is getting bigger,"['Indonesia', ""'s"", 'defense', 'strength', 'is', 'getting', 'bigger']",positif,Indonesia 's defense strength bigger
Ganjar responds to Jokowi's statement regarding the third debate,"['Ganjar', 'responds', 'to', 'Jokowi', ""'s"", 'statement', 'regarding', 'the', 'third', 'debate']",netral,Ganjar responds Jokowi 's statement debate
"Mamat Alkatiri is said to be the figure behind the success of Ganjar Pranowo in the presidential candidate debate, apparently the editor of West Java Express is Atep Hilmansyah","['Mamat', 'Alkatiri', 'is', 'said', 'to', 'be', 'the', 'figure', 'behind', 'the', 'success', 'of', 'Ganjar', 'Pranowo', 'in', 'the', 'presidential', 'candidate', 'debate', ',', 'apparently', 'the', 'editor', 'of', 'West', 'Java', 'Express', 'is', 'Atep', 'Hilmansyah']",positif,"Mamat Alkatiri figure success Ganjar Pranowo presidential candidate debate , editor West Java Express Atep Hilmansyah"
"okay okay PDIP finally started launching the attack earlier, man","['okay', 'okay', 'PDIP', 'finally', 'started', 'launching', 'the', 'attack', 'earlier', ',', 'man']",negatif,"PDIP finally started launching attack earlier ,"
I wonder how much this lady will be paid,"['I', 'wonder', 'how', 'much', 'this', 'lady', 'will', 'be', 'paid']",netral,lady paid
How can it be used as a source of ridicule like this?,"['How', 'can', 'it', 'be', 'used', 'as', 'a', 'source', 'of', 'ridicule', 'like', 'this', '?']",negatif,source ridicule ?
Police reform reduces crime rates,"['Police', 'reform', 'reduces', 'crime', 'rates']",negatif,Police reform reduces crime rates
At first it was relaxed but suddenly it became loud at the end,"['At', 'first', 'it', 'was', 'relaxed', 'but', 'suddenly', 'it', 'became', 'loud', 'at', 'the', 'end']",positif,relaxed suddenly loud
"Hadeuuh sir, don't take care of Pak Prabowo, you'll end up getting tired of yourself because you're losing the competition, hehe, Minister of Defense Prabowo will become president","['Hadeuuh', 'sir', ',', 'do', ""n't"", 'take', 'care', 'of', 'Pak', 'Prabowo', ',', 'you', ""'ll"", 'end', 'up', 'getting', 'tired', 'of', 'yourself', 'because', 'you', ""'re"", 'losing', 'the', 'competition', ',', 'hehe', ',', 'Minister', 'of', 'Defense', 'Prabowo', 'will', 'become', 'president']",negatif,"Hadeuuh sir , n't care Pak Prabowo , tired 're losing competition , hehe , Minister Defense Prabowo president"
"Anies and Prabowo did not shake hands after the debate, here's the clarification","['Anies', 'and', 'Prabowo', 'did', 'not', 'shake', 'hands', 'after', 'the', 'debate', ',', 'here', ""'s"", 'the', 'clarification']",positif,"Anies Prabowo shake hands debate , 's clarification"
